ID,URL,Title,Difficulty,Acceptance %,Frequency %
2008,https://leetcode.com/problems/maximum-earnings-from-taxi,"Maximum Earnings From Taxi",Medium,46.4%,100.0%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Best Time to Buy and Sell Stock",Easy,56.7%,75.7%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Longest Substring Without Repeating Characters",Medium,38.9%,68.9%
11,https://leetcode.com/problems/container-with-most-water,"Container With Most Water",Medium,59.9%,68.9%
15,https://leetcode.com/problems/3sum,"3Sum",Medium,38.9%,68.9%
41,https://leetcode.com/problems/first-missing-positive,"First Missing Positive",Hard,42.8%,68.9%
49,https://leetcode.com/problems/group-anagrams,"Group Anagrams",Medium,72.5%,68.9%
179,https://leetcode.com/problems/largest-number,"Largest Number",Medium,42.9%,68.9%
459,https://leetcode.com/problems/repeated-substring-pattern,"Repeated Substring Pattern",Easy,48.1%,68.9%
494,https://leetcode.com/problems/target-sum,"Target Sum",Medium,52.1%,68.9%
724,https://leetcode.com/problems/find-pivot-index,"Find Pivot Index",Easy,62.5%,68.9%
994,https://leetcode.com/problems/rotting-oranges,"Rotting Oranges",Medium,58.5%,68.9%
1302,https://leetcode.com/problems/deepest-leaves-sum,"Deepest Leaves Sum",Medium,86.5%,68.9%
1,https://leetcode.com/problems/two-sum,"Two Sum",Easy,55.9%,62.5%
79,https://leetcode.com/problems/word-search,"Word Search",Medium,45.4%,62.5%
114,https://leetcode.com/problems/flatten-binary-tree-to-linked-list,"Flatten Binary Tree to Linked List",Medium,68.7%,62.5%
221,https://leetcode.com/problems/maximal-square,"Maximal Square",Medium,48.9%,62.5%
236,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,"Lowest Common Ancestor of a Binary Tree",Medium,67.0%,62.5%
22,https://leetcode.com/problems/generate-parentheses,"Generate Parentheses",Medium,78.6%,59.2%
26,https://leetcode.com/problems/remove-duplicates-from-sorted-array,"Remove Duplicates from Sorted Array",Easy,62.7%,59.2%
33,https://leetcode.com/problems/search-in-rotated-sorted-array,"Search in Rotated Sorted Array",Medium,44.4%,59.2%
42,https://leetcode.com/problems/trapping-rain-water,"Trapping Rain Water",Hard,67.2%,59.2%
84,https://leetcode.com/problems/largest-rectangle-in-histogram,"Largest Rectangle in Histogram",Hard,49.7%,59.2%
128,https://leetcode.com/problems/longest-consecutive-sequence,"Longest Consecutive Sequence",Medium,47.1%,59.2%
146,https://leetcode.com/problems/lru-cache,"LRU Cache",Medium,47.2%,59.2%
280,https://leetcode.com/problems/wiggle-sort,"Wiggle Sort",Medium,68.4%,59.2%
462,https://leetcode.com/problems/minimum-moves-to-equal-array-elements-ii,"Minimum Moves to Equal Array Elements II",Medium,61.7%,59.2%
735,https://leetcode.com/problems/asteroid-collision,"Asteroid Collision",Medium,47.7%,59.2%
1011,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,"Capacity To Ship Packages Within D Days",Medium,73.8%,59.2%
1443,https://leetcode.com/problems/minimum-time-to-collect-all-apples-in-a-tree,"Minimum Time to Collect All Apples in a Tree",Medium,63.6%,59.2%
