ID,URL,Title,Difficulty,Acceptance %,Frequency %
1354,https://leetcode.com/problems/construct-target-array-with-multiple-sums,"Construct Target Array With Multiple Sums",Hard,36.9%,100.0%
2080,https://leetcode.com/problems/range-frequency-queries,"Range Frequency Queries",Medium,42.8%,94.4%
717,https://leetcode.com/problems/1-bit-and-2-bit-characters,"1-bit and 2-bit Characters",Easy,49.6%,92.2%
855,https://leetcode.com/problems/exam-room,"Exam Room",Medium,43.4%,92.2%
923,https://leetcode.com/problems/3sum-with-multiplicity,"3Sum With Multiplicity",Medium,46.3%,92.2%
1256,https://leetcode.com/problems/encode-number,"Encode Number",Medium,70.3%,92.2%
1281,https://leetcode.com/problems/subtract-the-product-and-sum-of-digits-of-an-integer,"Subtract the Product and Sum of Digits of an Integer",Easy,86.6%,92.2%
1295,https://leetcode.com/problems/find-numbers-with-even-number-of-digits,"Find Numbers with Even Number of Digits",Easy,79.7%,92.2%
1329,https://leetcode.com/problems/sort-the-matrix-diagonally,"Sort the Matrix Diagonally",Medium,83.2%,92.2%
1865,https://leetcode.com/problems/finding-pairs-with-a-certain-sum,"Finding Pairs With a Certain Sum",Medium,61.6%,92.2%
1876,https://leetcode.com/problems/substrings-of-size-three-with-distinct-characters,"Substrings of Size Three with Distinct Characters",Easy,76.7%,92.2%
1878,https://leetcode.com/problems/get-biggest-three-rhombus-sums-in-a-grid,"Get Biggest Three Rhombus Sums in a Grid",Medium,71.4%,92.2%
1935,https://leetcode.com/problems/maximum-number-of-words-you-can-type,"Maximum Number of Words You Can Type",Easy,82.9%,92.2%
2269,https://leetcode.com/problems/find-the-k-beauty-of-a-number,"Find the K-Beauty of a Number",Easy,63.3%,92.2%
380,https://leetcode.com/problems/insert-delete-getrandom-o1,"Insert Delete GetRandom O(1)",Medium,55.3%,87.0%
68,https://leetcode.com/problems/text-justification,"Text Justification",Hard,50.9%,76.1%
560,https://leetcode.com/problems/subarray-sum-equals-k,"Subarray Sum Equals K",Medium,47.2%,71.0%
14,https://leetcode.com/problems/longest-common-prefix,"Longest Common Prefix",Easy,47.4%,64.3%
297,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,"Serialize and Deserialize Binary Tree",Hard,60.6%,64.3%
795,https://leetcode.com/problems/number-of-subarrays-with-bounded-maximum,"Number of Subarrays with Bounded Maximum",Medium,54.1%,50.0%
968,https://leetcode.com/problems/binary-tree-cameras,"Binary Tree Cameras",Hard,47.3%,50.0%
