ID,URL,Title,Difficulty,Acceptance %,Frequency %
25,https://leetcode.com/problems/reverse-nodes-in-k-group,Reverse Nodes in k-Group,Hard,65.9%,100.0%
93,https://leetcode.com/problems/restore-ip-addresses,Restore IP Addresses,Medium,55.8%,100.0%
92,https://leetcode.com/problems/reverse-linked-list-ii,Reverse Linked List II,Medium,51.4%,87.5%
143,https://leetcode.com/problems/reorder-list,Reorder List,Medium,65.1%,87.5%
104,https://leetcode.com/problems/maximum-depth-of-binary-tree,Maximum Depth of Binary Tree,Easy,78.1%,81.5%
138,https://leetcode.com/problems/copy-list-with-random-pointer,Copy List with Random Pointer,Medium,62.7%,81.5%
203,https://leetcode.com/problems/remove-linked-list-elements,Remove Linked List Elements,Easy,54.3%,81.5%
210,https://leetcode.com/problems/course-schedule-ii,Course Schedule II,Medium,55.4%,81.5%
219,https://leetcode.com/problems/contains-duplicate-ii,Contains Duplicate II,Easy,51.1%,81.5%
285,https://leetcode.com/problems/inorder-successor-in-bst,Inorder Successor in BST,Medium,50.8%,75.0%
1060,https://leetcode.com/problems/missing-element-in-sorted-array,Missing Element in Sorted Array,Medium,58.9%,75.0%
33,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,44.4%,73.8%
71,https://leetcode.com/problems/simplify-path,Simplify Path,Medium,50.4%,73.8%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.2%,73.8%
510,https://leetcode.com/problems/inorder-successor-in-bst-ii,Inorder Successor in BST II,Medium,61.1%,73.8%
788,https://leetcode.com/problems/rotated-digits,Rotated Digits,Medium,56.9%,73.8%
1710,https://leetcode.com/problems/maximum-units-on-a-truck,Maximum Units on a Truck,Easy,74.8%,73.8%
2182,https://leetcode.com/problems/construct-string-with-repeat-limit,Construct String With Repeat Limit,Medium,70.8%,73.8%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.9%,63.1%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,37.7%,63.1%
21,https://leetcode.com/problems/merge-two-sorted-lists,Merge Two Sorted Lists,Easy,68.2%,63.1%
24,https://leetcode.com/problems/swap-nodes-in-pairs,Swap Nodes in Pairs,Medium,69.4%,63.1%
46,https://leetcode.com/problems/permutations,Permutations,Medium,81.8%,63.1%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,53.2%,63.1%
79,https://leetcode.com/problems/word-search,Word Search,Medium,47.2%,63.1%
82,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii,Remove Duplicates from Sorted List II,Medium,51.7%,63.1%
113,https://leetcode.com/problems/path-sum-ii,Path Sum II,Medium,62.1%,63.1%
139,https://leetcode.com/problems/word-break,Word Break,Medium,49.4%,63.1%
268,https://leetcode.com/problems/missing-number,Missing Number,Easy,71.9%,63.1%
647,https://leetcode.com/problems/palindromic-substrings,Palindromic Substrings,Medium,72.7%,63.1%
997,https://leetcode.com/problems/find-the-town-judge,Find the Town Judge,Easy,50.7%,63.1%
1669,https://leetcode.com/problems/merge-in-between-linked-lists,Merge In Between Linked Lists,Medium,83.0%,63.1%
1910,https://leetcode.com/problems/remove-all-occurrences-of-a-substring,Remove All Occurrences of a Substring,Medium,78.5%,63.1%
2,https://leetcode.com/problems/add-two-numbers,Add Two Numbers,Medium,48.7%,62.7%
72,https://leetcode.com/problems/edit-distance,Edit Distance,Medium,60.8%,62.7%
125,https://leetcode.com/problems/valid-palindrome,Valid Palindrome,Easy,53.6%,62.7%
74,https://leetcode.com/problems/search-a-2d-matrix,Search a 2D Matrix,Medium,52.4%,62.5%
98,https://leetcode.com/problems/validate-binary-search-tree,Validate Binary Search Tree,Medium,34.5%,62.5%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,55.4%,62.5%
124,https://leetcode.com/problems/binary-tree-maximum-path-sum,Binary Tree Maximum Path Sum,Hard,41.3%,62.5%
208,https://leetcode.com/problems/implement-trie-prefix-tree,Implement Trie (Prefix Tree),Medium,68.1%,62.5%
217,https://leetcode.com/problems/contains-duplicate,Contains Duplicate,Easy,63.3%,62.5%
346,https://leetcode.com/problems/moving-average-from-data-stream,Moving Average from Data Stream,Easy,80.0%,62.5%
430,https://leetcode.com/problems/flatten-a-multilevel-doubly-linked-list,Flatten a Multilevel Doubly Linked List,Medium,61.4%,62.5%
703,https://leetcode.com/problems/kth-largest-element-in-a-stream,Kth Largest Element in a Stream,Easy,60.0%,62.5%
1539,https://leetcode.com/problems/kth-missing-positive-number,Kth Missing Positive Number,Easy,62.4%,62.5%
1823,https://leetcode.com/problems/find-the-winner-of-the-circular-game,Find the Winner of the Circular Game,Medium,82.1%,62.5%
347,https://leetcode.com/problems/top-k-frequent-elements,Top K Frequent Elements,Medium,66.4%,61.0%
