ID,URL,Title,Difficulty,Acceptance %,Frequency %
598,https://leetcode.com/problems/range-addition-ii,"Range Addition II",Easy,58.6%,100.0%
56,https://leetcode.com/problems/merge-intervals,"Merge Intervals",Medium,51.6%,97.6%
295,https://leetcode.com/problems/find-median-from-data-stream,"Find Median from Data Stream",Hard,54.4%,94.9%
162,https://leetcode.com/problems/find-peak-element,"Find Peak Element",Medium,46.9%,91.8%
353,https://leetcode.com/problems/design-snake-game,"Design Snake Game",Medium,40.0%,88.3%
227,https://leetcode.com/problems/basic-calculator-ii,"Basic Calculator II",Medium,46.8%,84.1%
234,https://leetcode.com/problems/palindrome-linked-list,"Palindrome Linked List",Easy,57.8%,79.0%
380,https://leetcode.com/problems/insert-delete-getrandom-o1,"Insert Delete GetRandom O(1)",Medium,55.3%,79.0%
592,https://leetcode.com/problems/fraction-addition-and-subtraction,"Fraction Addition and Subtraction",Medium,66.4%,79.0%
1347,https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram,"Minimum Number of Steps to Make Two Strings Anagram",Medium,82.5%,79.0%
691,https://leetcode.com/problems/stickers-to-spell-word,"Stickers to Spell Word",Hard,50.8%,72.4%
717,https://leetcode.com/problems/1-bit-and-2-bit-characters,"1-bit and 2-bit Characters",Easy,49.6%,72.4%
1465,https://leetcode.com/problems/maximum-area-of-a-piece-of-cake-after-horizontal-and-vertical-cuts,"Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts",Medium,41.4%,72.4%
23,https://leetcode.com/problems/merge-k-sorted-lists,"Merge k Sorted Lists",Hard,59.4%,63.1%
166,https://leetcode.com/problems/fraction-to-recurring-decimal,"Fraction to Recurring Decimal",Medium,30.8%,63.1%
207,https://leetcode.com/problems/course-schedule,"Course Schedule",Medium,51.3%,63.1%
634,https://leetcode.com/problems/find-the-derangement-of-an-array,"Find the Derangement of An Array",Medium,41.6%,63.1%
