ID,URL,Title,Difficulty,Acceptance %,Frequency %
68,https://leetcode.com/problems/text-justification,"Text Justification",Hard,50.9%,100.0%
2133,https://leetcode.com/problems/check-if-every-row-and-column-contains-all-numbers,"Check if Every Row and Column Contains All Numbers",Easy,54.1%,96.0%
1160,https://leetcode.com/problems/find-words-that-can-be-formed-by-characters,"Find Words That Can Be Formed by Characters",Easy,71.5%,90.9%
1604,https://leetcode.com/problems/alert-using-same-key-card-three-or-more-times-in-a-one-hour-period,"Alert Using Same Key-Card Three or More Times in a One Hour Period",Medium,46.2%,88.5%
79,https://leetcode.com/problems/word-search,"Word Search",Medium,47.2%,87.1%
383,https://leetcode.com/problems/ransom-note,"Ransom Note",Easy,65.9%,73.5%
36,https://leetcode.com/problems/valid-sudoku,"Valid Sudoku",Medium,64.4%,62.6%
221,https://leetcode.com/problems/maximal-square,"Maximal Square",Medium,50.2%,62.6%
207,https://leetcode.com/problems/course-schedule,"Course Schedule",Medium,49.4%,62.5%
200,https://leetcode.com/problems/number-of-islands,"Number of Islands",Medium,62.5%,50.0%
210,https://leetcode.com/problems/course-schedule-ii,"Course Schedule II",Medium,53.6%,50.0%
212,https://leetcode.com/problems/word-search-ii,"Word Search II",Hard,37.4%,50.0%
811,https://leetcode.com/problems/subdomain-visit-count,"Subdomain Visit Count",Medium,76.9%,50.0%
1,https://leetcode.com/problems/two-sum,"Two Sum",Easy,57.4%,49.1%
55,https://leetcode.com/problems/jump-game,"Jump Game",Medium,40.8%,49.1%
2225,https://leetcode.com/problems/find-players-with-zero-or-one-losses,"Find Players With Zero or One Losses",Medium,72.5%,49.1%
2933,https://leetcode.com/problems/high-access-employees,"High-Access Employees",Medium,47.4%,49.1%
