ID,URL,Title,Difficulty,Acceptance %,Frequency %
1,https://leetcode.com/problems/two-sum,"Two Sum",Easy,57.4%,100.0%
22,https://leetcode.com/problems/generate-parentheses,"Generate Parentheses",Medium,78.6%,100.0%
200,https://leetcode.com/problems/number-of-islands,"Number of Islands",Medium,64.2%,100.0%
5,https://leetcode.com/problems/longest-palindromic-substring,"Longest Palindromic Substring",Medium,37.7%,91.6%
20,https://leetcode.com/problems/valid-parentheses,"Valid Parentheses",Easy,44.1%,91.6%
300,https://leetcode.com/problems/longest-increasing-subsequence,"Longest Increasing Subsequence",Medium,59.3%,91.6%
394,https://leetcode.com/problems/decode-string,"Decode String",Medium,62.5%,91.6%
39,https://leetcode.com/problems/combination-sum,"Combination Sum",Medium,74.9%,87.5%
11,https://leetcode.com/problems/container-with-most-water,"Container With Most Water",Medium,59.9%,79.7%
21,https://leetcode.com/problems/merge-two-sorted-lists,"Merge Two Sorted Lists",Easy,68.2%,79.7%
23,https://leetcode.com/problems/merge-k-sorted-lists,"Merge k Sorted Lists",Hard,59.4%,79.7%
42,https://leetcode.com/problems/trapping-rain-water,"Trapping Rain Water",Hard,67.2%,79.7%
51,https://leetcode.com/problems/n-queens,"N-Queens",Hard,75.4%,79.7%
53,https://leetcode.com/problems/maximum-subarray,"Maximum Subarray",Medium,53.2%,79.7%
141,https://leetcode.com/problems/linked-list-cycle,"Linked List Cycle",Easy,54.2%,79.7%
402,https://leetcode.com/problems/remove-k-digits,"Remove K Digits",Medium,36.7%,79.7%
1702,https://leetcode.com/problems/maximum-binary-string-after-change,"Maximum Binary String After Change",Medium,48.0%,79.7%
2617,https://leetcode.com/problems/minimum-number-of-visited-cells-in-a-grid,"Minimum Number of Visited Cells in a Grid",Hard,23.8%,79.7%
179,https://leetcode.com/problems/largest-number,"Largest Number",Medium,41.4%,75.0%
679,https://leetcode.com/problems/24-game,"24 Game",Hard,50.1%,75.0%
739,https://leetcode.com/problems/daily-temperatures,"Daily Temperatures",Medium,67.5%,75.0%
